option_id,selection,result
1,I or a family member has been the victim of a crime committed in the US.,"U-Visa: If you have been the victim of a crime, or are the spouse, parent, son or daughter or sibling of a crime victim, you may be eligible for a U visa, a status for certain crime victims and their close family members. Only certain crimes are covered and the crime victim must have been helpful in the investigation or prosecution of the crime, and show that she or he suffered physical or mental abuse as the result of being a crime victim."
2,"I have been the victim of abuse caused by a spouse, parent, lawful permanent resident.","VAWA: If you have been abused by a USC or LPR spouse, parent or adult son or daughter, you may be eligible to file a VAWA self-petition. Abuse may be physical or psychological. If you qualify for VAWA you may file a petition for yourself rather than rely on your abusive family member to file the petition on your behalf. If you are approved for VAWA you qualify for employment authorization.Those who are approved for VAWA may also be eligible to apply for lawful permanent residency."
3,I have been convicted of an aggravated felony.,"Unfortunately, being convicted of a felony may make you ineligible for most programs. Call ___ if you are currently detained."
4,You are under 18 years of age and have been abused by one of your parents.,"Special Immigrant Juvenile Status: If you are under 18 and you have been abused, abandoned or neglected by at least one parent you may be eligible for Special Immigrant Juvenile Status (SIJS). A state court must make the determination that you have been abandoned, abused or neglected by at least one parent and that you cannot be reunited with that parent. The court must also decide that it is not in your best interest to return to your home country. If you meet all the requirements, you may apply for SIJS, lawful permanent residency, and work authorization at the same time."
5,"You have a spouse, parent or adult child who is a citizen.","To promote family unity, immigration law allows permanent residents of the United States (green card holders) to petition for certain eligible relatives to come and live permanently in the United States.  A permanent resident may petition for his/her spouse and unmarried child(ren) of any age to immigrate to the United States. Congress has limited the number of relatives who may immigrate under these categories each year so there is generally a waiting period before an immigrant visa number becomes available."
6,"You have a spouse, parent or adult child who is a green card holder (lawful permanent resident).",Green card holders can petition for their relatives (husband/wife) or unmarried child.
7,"You have a spouse, parent or child who is/was in the armed forces.","Parole in Place: If you are the spouse, parent, son or daughter of someone on active duty in the military, or a veteran, you may be eligible for an immigration benefit known as Òparole in place. If you are approved for this benefit, you qualify for employment authorization and you may also be able to apply for lawful permanent residency without having to travel abroad to a U.S. Consulate in your home country."
8,At least one of your parents was a US Citizen when you were born.,If one or both of your parents was a U.S. citizen at the time you were both then you may already be a U.S. citizen through acquisition of citizenship.
9,"I fled my home country and am afraid of returning. OR I was seriously harmed in my home country because of my political beliefs, nationality, sexual identity or religions.","To qualify, you must show that you were seriously harmed or fear future serious harm by others because of your race, religion, national original, political opinion, membership in a particular social group, or sexual identity."
10,Being deported would cause extreme hardship to my immediate family members who are citizens or lawful permanent residents.,"Cancellation of Removal: The Attorney General may cancel removal in the case of an alien who is inadmissible or deportable from the United States if the alien(1) has been an alien lawfully admitted for permanent residence for not less than 5 years, (2) has resided in the United States continuously for 7 years after having been admitted in any status, and(3) has not been convicted of any aggravated felony."
11,I have been continuously present in the US for 10 years or more and have been of good moral character.,"Cancellation of Removal: The Attorney General may cancel removal in the case of an alien who is inadmissible or deportable from the United States if the alien(1) has been an alien lawfully admitted for permanent residence for not less than 5 years, (2) has resided in the United States continuously for 7 years after having been admitted in any status, and(3) has not been convicted of any aggravated felony."
12,None of the above apply to me,See a lawyer to get a solution for your specific problem
